conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1947073049725161862,Sun Jul 20 23:16:04 +0000 2025,0,Presiden nggak punya wibawa nggak punya marwah belum setahun sudah gijlik bolak balik Jakarta - Solo. Ada apa denganmu pak @prabowo???,1947073049725161862,,,in,,0,0,0,https://x.com/undefined/status/1947073049725161862,2518915579,
1947072963666420222,Sun Jul 20 23:15:44 +0000 2025,0,Sebanyak 80.068 Koperasi Desa Merah Putih (KDMP) dan Koperasi Kelurahan Merah Putih (KKMP) hari ini resmi akan diluncurkan Presiden Prabowo Subianto secara serentak di Klaten Jawa Tengah. Pemerintah mengalokasikan Rp. 446 Trilyun untuk mewujudkan 11 Program Prioritas tahun https://t.co/0kN7HVslQ9,1947072963666420222,https://pbs.twimg.com/media/GwVkZwDWoAExYDv.jpg,,in,,0,0,0,https://x.com/undefined/status/1947072963666420222,121640063,
1947072813434913089,Sun Jul 20 23:15:08 +0000 2025,0,Video: Kala Prabowo Sindir Serakahnomics hingga Demo Dibayar Koruptor https://t.co/JRShLZYPFq,1947072813434913089,,,in,,0,0,0,https://x.com/undefined/status/1947072813434913089,598959076,
1947072780580565078,Sun Jul 20 23:15:00 +0000 2025,0,Prabowo Sindir Podcast: Mereka Lebih Tahu dari Saya Sebut Pecah Kongsi dengan Jokowi https://t.co/wHgpr5tKCE,1947072780580565078,,,in,,0,0,0,https://x.com/undefined/status/1947072780580565078,132078023,
1947072309321490734,Sun Jul 20 23:13:08 +0000 2025,0,Kejar Maling Kekayaan RI Prabowo Ungkap soal Serakahnomics! https://t.co/09OlHGsOdD,1947072309321490734,,,in,,0,0,0,https://x.com/undefined/status/1947072309321490734,135795460,
1947072264337596661,Sun Jul 20 23:12:57 +0000 2025,1,Presiden Prabowo memberikan arahan agar seluruh investasi yang dilakukan Danantara dilaksanakan dengan prinsip transparansi dan akuntabilitas yang baik. #Danantara #KawalDanantara #TransparansiDanantara #DukungDanantara https://t.co/NhkEl2YGvN,1947072264337596661,https://pbs.twimg.com/media/GwVj59YW8AMvfcQ.jpg,,in,,0,0,0,https://x.com/undefined/status/1947072264337596661,1356573748812369920,
1947072240610398476,Sun Jul 20 23:12:51 +0000 2025,0,dari data seperti ini apakah presiden @prabowo wapres @gibran_tweet legislator di @DPR_RI menyadari banyaknya sumber daya alam yang pengelolaannya bukan untuk rakyat..? hal sesimple ini apakah sampe dipikiran mereka? tolong hal ini menjadi perhatiannya min @Gerindra. https://t.co/IqMNUhuf3h,1947072240610398476,https://pbs.twimg.com/media/GwVj4jOWYAADCOe.jpg,,in,,0,0,0,https://x.com/undefined/status/1947072240610398476,1073752140923826176,
1947071960275644673,Sun Jul 20 23:11:44 +0000 2025,0,Makanya ini proyek mau dihentikan &amp; berubah fungsi akal - akal elit pejabat utk melindungi hasil kejahatannya sudah triliun APBN tersedot sampai dana haji pun dipakai diam - diam ini kejahatan serius pada #RakyatIndonesia . @DPR_RI #Mahasiswa @prabowo #Akademisi @puanmaharani_ri,1947071960275644673,,,in,,0,0,0,https://x.com/undefined/status/1947071960275644673,1081271199341076481,
1947071739084878283,Sun Jul 20 23:10:52 +0000 2025,0,Presiden Prabowo sowan ke Presiden ke-7 RI Jokowi laporkan hasil safari dunia: dari deal IEU-CEPA BRICS Brasil pertemuan Prancis London hingga ketemu Trump! Banyak terobosan positif. Tapi selebihnya rahasia dong kelakar Prabowo. #Prabowo #Jokowi https://t.co/AdSNFi4sIu,1947071739084878283,,,in,,0,0,0,https://x.com/undefined/status/1947071739084878283,2911375412,
1947071732457812396,Sun Jul 20 23:10:50 +0000 2025,0,Komentari Logo Gajah Prabowo: Pantas PSI Incar Menteri Kehutanan https://t.co/kDDawjdWbh,1947071732457812396,,,in,,0,0,0,https://x.com/undefined/status/1947071732457812396,887743587579944960,
1947071152016457820,Sun Jul 20 23:08:32 +0000 2025,1,Bestie berdua itu mmg bikin sakit perut yg ingin Jokowi-Prabowo pecah kongsi Dulu mbakso sekarang mbakmie Kesederhanaan penuh makna yg bikin suhu politik macam kebakaran Gedhe https://t.co/rKBGGfrDKT,1947071152016457820,https://pbs.twimg.com/media/GwVi432XkAE6lxu.jpg,,in,,0,1,0,https://x.com/undefined/status/1947071152016457820,1709123175450288128,
1947070836869067220,Sun Jul 20 23:07:16 +0000 2025,1,Presiden Prabowo mampir ke rumah Jokowi sebelum menghadiri Kongres PSI 2025 di Editorium UMS Kota Solo Ahad malam WIB. https://t.co/gTIiBQfLQH,1947070836869067220,,,in,,0,1,0,https://x.com/undefined/status/1947070836869067220,22126902,
1947070833207189544,Sun Jul 20 23:07:16 +0000 2025,0,Anjir segitu rendahnya harga diri lu @prabowo lu presiden ngapain lu ngurusin mantan presiden anjir,1947070833207189544,,,in,,0,0,0,https://x.com/undefined/status/1947070833207189544,82582389,
1947070771634786557,Sun Jul 20 23:07:01 +0000 2025,2,Pak @prabowo Sebesar negara indonesia! Ternyata gak punya presiden! Yang ada hanya pembantu raja jawa https://t.co/uys5uxOyO6,1947070771634786557,https://pbs.twimg.com/amplify_video_thumb/1946902490684723200/img/Gar8QuDG_TsiCu6z.jpg,,in,,0,0,0,https://x.com/undefined/status/1947070771634786557,1603571774377299968,
1947070692777988398,Sun Jul 20 23:06:42 +0000 2025,0,Andai pak Prabowo tdk mampir pasti sdh jadi bahan gunjingan para pemfitnah.,1947070692777988398,,,in,,0,0,0,https://x.com/undefined/status/1947070692777988398,1263093775234023424,
1947070572518932586,Sun Jul 20 23:06:13 +0000 2025,0,Cadangan beras capai 4 2 juta ton Presiden Prabowo menegaskan komitmen menjaga kedaulatan. https://t.co/TKUzL0DSB9,1947070572518932586,,,in,,0,1,0,https://x.com/undefined/status/1947070572518932586,22126902,
1947070452846760346,Sun Jul 20 23:05:45 +0000 2025,0,Sifat asli Prabowo terlihat jelas bukan rosulluloh yg ia kagumi justru org yg membenci rasululloh Muhammad yang dia ikuti https://t.co/ZYAkG2Ne64,1947070452846760346,https://pbs.twimg.com/ext_tw_video_thumb/1947004470962921472/pu/img/4IMUcqLIMsWYHFRO.jpg,,in,,0,0,0,https://x.com/undefined/status/1947070452846760346,1609218415423795200,
1947070327860969571,Sun Jul 20 23:05:15 +0000 2025,0,Ntar dicakar Bobby Kartanegara loh Pak Prabowo https://t.co/gsRrD0keVJ,1947070327860969571,https://pbs.twimg.com/media/GwViJPSWAAUPHlQ.jpg,,in,,0,0,0,https://x.com/undefined/status/1947070327860969571,214159664,
1947070204422586771,Sun Jul 20 23:04:46 +0000 2025,0,Presiden Prabowo silaturahmi ke rumah Jokowi menceritakan hasil kunjungan ke luar negeri. https://t.co/ZLxNoWz6qg,1947070204422586771,https://pbs.twimg.com/ext_tw_video_thumb/1946934551181205504/pu/img/VHF77CnelwukQnaZ.jpg,,in,,0,0,1,https://x.com/undefined/status/1947070204422586771,84221579,
1947069883537133792,Sun Jul 20 23:03:29 +0000 2025,0,Prabowo: 'Serakahnomics' Ancaman Nyata untuk Rakyat dan Konstitusi https://t.co/OdKx49K2fm,1947069883537133792,,,in,,0,0,0,https://x.com/undefined/status/1947069883537133792,2544978158,
1947069734572503463,Sun Jul 20 23:02:54 +0000 2025,0,Hukum kacauuuu @prabowo @Dahnilanzar,1947069734572503463,,,in,,0,0,0,https://x.com/undefined/status/1947069734572503463,188226849,
1947069626820726980,Sun Jul 20 23:02:28 +0000 2025,0,ciri-ciri rakyat prabowo &amp; gibran:,1947069626820726980,,,in,,0,0,0,https://x.com/undefined/status/1947069626820726980,123158001,
1947069615747780904,Sun Jul 20 23:02:25 +0000 2025,0,Kehadiran Prabowo di kongres PSI dan sebelumnya bertemu lebih dahulu dengan Jokowi di kediamannya telah menjawab semua omongan miring tentang hubungan Prabowo dengan Jokowi. Habis pak Jokowi masuk PSI pasti ada yg nyonyir pula... silahken.. kami siap.. https://t.co/AXsyhf58CS,1947069615747780904,,,in,,0,0,0,https://x.com/undefined/status/1947069615747780904,1486631613932834819,
1947069591668343220,Sun Jul 20 23:02:20 +0000 2025,1,Prabowo Hadiri Partai Gajah Narasi Konsesi 90 Ribu HA Simbol dan Strategi Politik https://t.co/OKaKnoxayZ,1947069591668343220,,,in,,0,0,0,https://x.com/undefined/status/1947069591668343220,30201110,
