conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1947102960863035737,Mon Jul 21 01:14:55 +0000 2025,0,Tom Lembong korban konspirasi penguasa era Presiden Prabowo dan aparat penegak hukum yang masih patuh kepada Jokowi. Hingga senin ini belum ada respon rezim https://t.co/EjHEgxomt0,1947102960863035737,,,in,,0,0,0,https://x.com/undefined/status/1947102960863035737,1351879465928822784,
1947102005228659078,Mon Jul 21 01:11:08 +0000 2025,0,Kesalahan Tom Lembong Hanya Satu: Dia Percaya kepada Kejujuran https://t.co/d0j1QiIuRN https://t.co/d297Zkb2Gp,1947102005228659078,https://pbs.twimg.com/media/GwV-8yaW4AIgRrj.jpg,,in,,0,0,0,https://x.com/undefined/status/1947102005228659078,1864351114294120449,
1947101786046935190,Mon Jul 21 01:10:15 +0000 2025,0,mana ada tom lembong ketemu koruptor kelas kakap wong mereka ga masuk penjara ️ dilindungi pemerintah ️ udh ky satwa,1947101786046935190,,,in,,0,0,0,https://x.com/undefined/status/1947101786046935190,1242439456721793024,
1947100998302101722,Mon Jul 21 01:07:08 +0000 2025,0,Tak Nikmati Uang Korupsi Tom Lembong Tetap Dihukum 4 5 Tahun - https://t.co/mynbOCukad https://t.co/WE6xPA9wrT,1947100998302101722,https://pbs.twimg.com/media/GwV-CgAakAA7E6k.jpg,,in,,0,0,0,https://x.com/undefined/status/1947100998302101722,1388165892,
1947098665329594496,Mon Jul 21 00:57:51 +0000 2025,0,WTS WTB BUB!! READY NETFLIX PICSART DISNEY+ CANVA VIU WETV YOUTUBE PRIME VIDIO VISION+ VIDIO PLATINUM 07.57-- ️ wa : https://t.co/eJFOlfx53o Cold Play Tom Lembong Carmen Indomy Battle Lagi BTS Kalau Haechan. trump JUNGKOOK SMTOWN #zonauang https://t.co/5DBsdfxVak,1947098665329594496,https://pbs.twimg.com/media/GwV76KoWsAEDR7Z.jpg,,en,,0,0,0,https://x.com/undefined/status/1947098665329594496,788431063,
1947096093822722443,Mon Jul 21 00:47:38 +0000 2025,0,Kalau tom Lembong aja bisa dipidanakan bahkan tidak terbukti menerima dana. Harusnya kasus ini bisa lebih berat.,1947096093822722443,,,in,,0,0,0,https://x.com/undefined/status/1947096093822722443,1917792405035905024,
1947095813362270557,Mon Jul 21 00:46:31 +0000 2025,0,Tom Lembong dipenjara karna dianggap menguntungkan korporasi Bagaiamana dengan pengadaan listrik oleh swasta pengadaan pupuk pemberangkatan Haji oleh yang bukan BUMN apakah semua orang yang terlibat atas proyek ini di penjara gimana @univ_indonesia logika sesat cacat fikir,1947095813362270557,,,in,,0,0,0,https://x.com/undefined/status/1947095813362270557,1672903367247691777,
1947095380187070916,Mon Jul 21 00:44:48 +0000 2025,0,Rakyat tidak bodoh semua apalagi pakar hukum banyak yang melihat kasus ini tidak lazim. Banyak kejanggalan yang terungkap dalam persidangan menjadi bukti bahwa peradilan Tom Lembong sarat dugaan rekayasa.,1947095380187070916,,,in,,0,0,0,https://x.com/undefined/status/1947095380187070916,1456628197081038848,
1947095184501612883,Mon Jul 21 00:44:01 +0000 2025,0,dalam pandangan saya sebagai pengamat media vonis 4 tahun 6 bulan penjara untuk Tom Lembong dalam kasus dugaan korupsi impor gula 2015-2016 menyimpan sejumlah kejanggalan yang sangat terasa. sulit bagi saya untuk memahami bagaimana seorang pejabat bisa divonis pidana korupsi-,1947095184501612883,,,in,,0,1,0,https://x.com/undefined/status/1947095184501612883,1788068732188741632,
1947094428256026807,Mon Jul 21 00:41:01 +0000 2025,0,mengenai kasus tom lembong jujur ak engga ngikutin kasus nya dari awal tapi pagi ini saya tengah mencari fakta dan kejanggalan yg ada di kasus tom lembong,1947094428256026807,,,in,,0,0,0,https://x.com/undefined/status/1947094428256026807,1788068732188741632,
